Date;Price;Open;High;Low;Vol.;Change %
23/07/2024;67,2;67,2;67,2;67,2;;0,45%
22/07/2024;66,9;66,9;66,9;66,9;;2,39%
19/07/2024;65,34;65,34;65,34;65,34;;1,78%
18/07/2024;64,2;64,2;64,2;64,2;;2,98%
17/07/2024;62,34;62,34;62,34;62,34;;-1,41%
16/07/2024;63,23;63,23;63,23;63,23;;2,00%
15/07/2024;61,99;61,99;61,99;61,99;;-6,00%
12/07/2024;65,95;65,95;65,95;65,95;;-0,99%
11/07/2024;66,61;66,61;66,61;66,61;;-0,60%
10/07/2024;67,01;67,01;67,01;67,01;;-1,00%
09/07/2024;67,69;67,69;67,69;67,69;;-3,02%
08/07/2024;69,8;69,8;69,8;69,8;;-2,46%
05/07/2024;71,56;71,56;71,56;71,56;;-1,66%
03/07/2024;72,77;72,77;72,77;72,77;;-3,83%
02/07/2024;75,67;75,67;75,67;75,67;;0,33%
01/07/2024;75,42;75,42;75,42;75,42;;-11,53%
28/06/2024;85,25;85,25;85,25;85,25;;-0,53%
27/06/2024;85,7;85,7;85,7;85,7;;-0,29%
26/06/2024;85,95;85,95;85,95;85,95;;-2,34%
25/06/2024;88,01;88,01;88,01;88,01;;18,90%
24/06/2024;74,02;74,02;74,02;74,02;;-0,67%
21/06/2024;74,52;74,52;74,52;74,52;;2,60%
20/06/2024;72,63;72,63;72,63;72,63;;3,83%
18/06/2024;69,95;69,95;69,95;69,95;;1,33%
17/06/2024;69,03;69,03;69,03;69,03;;-1,62%
14/06/2024;70,17;70,17;70,17;70,17;;-1,17%
13/06/2024;71;71;71;71;;1,62%
12/06/2024;69,87;69,87;69,87;69,87;;-2,48%
11/06/2024;71,65;71,65;71,65;71,65;;-1,55%
10/06/2024;72,78;72,78;72,78;72,78;;-0,75%
07/06/2024;73,33;73,33;73,33;73,33;;-2,06%
06/06/2024;74,87;74,87;74,87;74,87;;-1,80%
05/06/2024;76,24;76,24;76,24;76,24;;-0,10%
04/06/2024;76,32;76,32;76,32;76,32;;3,82%
31/05/2024;73,51;73,51;73,51;73,51;;9,37%
30/05/2024;67,21;67,21;67,21;67,21;;-0,24%
29/05/2024;67,37;67,37;67,37;67,37;;0,73%
28/05/2024;66,88;66,88;66,88;66,88;;-0,79%
24/05/2024;67,41;67,41;67,41;67,41;;0,07%
23/05/2024;67,36;67,36;67,36;67,36;;-0,16%
22/05/2024;67,47;67,47;67,47;67,47;;-0,16%
21/05/2024;67,58;67,58;67,58;67,58;;6,06%
20/05/2024;63,72;63,72;63,72;63,72;;7,74%
17/05/2024;59,14;59,14;59,14;59,14;;3,72%
